Subject,SubName,Condition,SNS,SubTrial,Sex,Age,TrialType,Response,RT,RealOutcome,ScheduledOutcome,GambleAmount,Amount1,Amount2,Certain,Include,IRI_Total,IRI_EC,IRI_PT,IRI_distress,IRI_fantasy,MPSS_Total,MPSS_friend,RSE
1,153,1,1,10,1,19,0,0,330,3,0,0,13,0,6,1,,,,,,,,
1,153,1,1,11,1,19,0,0,247,3,0,0,22,0,13,1,,,,,,,,
1,153,1,1,12,1,19,0,0,541,3,1,7,7,0,3,1,,,,,,,,
1,153,1,1,13,1,19,1,1,842,1,1,5,5,-5,0,1,,,,,,,,
1,153,1,1,14,1,19,1,1,1455,0,0,-9,12,-9,0,1,,,,,,,,
1,153,1,1,15,1,19,1,1,469,1,1,4,4,-4,0,1,,,,,,,,
1,153,1,1,16,1,19,0,0,284,3,0,0,8,0,4.25,1,,,,,,,,
1,153,1,1,17,1,19,0,1,480,1,1,10,10,0,6,1,,,,,,,,
1,153,1,1,18,1,19,1,1,446,0,0,-13,8,-13,0,1,,,,,,,,
1,153,1,1,19,1,19,0,1,299,0,0,0,25,0,9,1,,,,,,,,
1,153,1,1,20,1,19,1,,,,1,4,4,-8,0,1,,,,,,,,
1,153,1,1,21,1,19,1,1,367,0,0,-1.25,2,-1.25,0,1,,,,,,,,
1,153,1,1,22,1,19,1,0,780,3,1,4,4,-1,0,1,,,,,,,,
1,153,1,1,23,1,19,1,,,,1,8,8,-9,0,1,,,,,,,,
1,153,1,1,24,1,19,1,1,328,0,0,-18.75,10,-18.75,0,1,,,,,,,,
1,153,1,1,25,1,19,0,0,613,3,0,0,12,0,4,1,,,,,,,,
1,153,1,1,26,1,19,1,1,1011,1,1,8,8,-2,0,1,,,,,,,,
1,153,1,1,27,1,19,1,0,433,3,0,-7,8,-7,0,1,,,,,,,,
1,153,1,1,28,1,19,0,,,,1,4,4,0,2.25,1,,,,,,,,
1,153,1,1,29,1,19,1,1,1188,1,1,5,5,-8.13,0,1,,,,,,,,
1,153,1,1,30,1,19,1,1,451,0,0,-4.38,5,-4.38,0,1,,,,,,,,
1,153,1,1,1,1,19,0,1,1877,0,0,0,17,0,10,1,,,,,,,,
1,153,1,1,2,1,19,1,1,402,1,1,5,5,-3.13,0,1,,,,,,,,
1,153,1,1,3,1,19,1,,,,1,9,9,-4.5,0,1,,,,,,,,
1,153,1,1,4,1,19,1,,,,0,-9.38,5,-9.38,0,1,,,,,,,,
1,153,1,1,5,1,19,1,1,523,0,0,-18,9,-18,0,1,,,,,,,,
1,153,1,1,6,1,19,1,0,1401,3,1,2,2,-3.25,0,1,,,,,,,,
1,153,1,1,7,1,19,0,1,791,0,0,0,7,0,4,1,,,,,,,,
1,153,1,1,8,1,19,1,,,,0,-3.75,10,-3.75,0,1,,,,,,,,
1,153,1,1,9,1,19,1,0,810,3,1,12,12,-24,0,1,,,,,,,,
1,153,1,1,10,1,19,1,1,496,1,1,4,4,-7,0,1,,,,,,,,
1,153,1,1,11,1,19,0,0,446,3,0,0,11,0,6,1,,,,,,,,
1,153,1,1,12,1,19,1,1,547,0,0,-13.75,10,-13.75,0,1,,,,,,,,
1,153,1,1,13,1,19,1,0,624,3,1,2,2,-0.75,0,1,,,,,,,,
1,153,1,1,14,1,19,1,1,597,1,1,8,8,-5,0,1,,,,,,,,
1,153,1,1,15,1,19,1,,,,0,-15,8,-15,0,1,,,,,,,,
1,153,1,1,16,1,19,1,1,345,0,0,-5,4,-5,0,1,,,,,,,,
1,153,1,1,17,1,19,0,,,,1,13,13,0,5,1,,,,,,,,
1,153,1,1,18,1,19,1,1,324,0,0,-2.25,2,-2.25,0,1,,,,,,,,
1,153,1,1,19,1,19,1,0,962,3,1,8,8,-6,0,1,,,,,,,,
1,153,1,1,20,1,19,0,0,279,3,1,4,4,0,2,1,,,,,,,,
1,153,1,1,21,1,19,0,0,293,3,1,24,24,0,12,1,,,,,,,,
1,153,1,1,22,1,19,1,0,931,3,0,-15,12,-15,0,1,,,,,,,,
1,153,1,1,23,1,19,0,1,537,1,1,22,22,0,10,1,,,,,,,,
1,153,1,1,24,1,19,0,1,806,0,0,0,30,0,12,1,,,,,,,,
1,153,1,1,25,1,19,1,0,572,3,0,-2,4,-2,0,1,,,,,,,,
1,153,1,1,26,1,19,1,1,674,1,1,6,6,-4.5,0,1,,,,,,,,
1,153,1,1,27,1,19,1,0,310,3,0,-6,6,-6,0,1,,,,,,,,
1,153,1,1,28,1,19,1,0,523,3,1,6,6,-10.5,0,1,,,,,,,,
1,153,1,1,29,1,19,0,,,,0,0,8,0,3,1,,,,,,,,
1,153,1,1,30,1,19,1,1,727,1,1,12,12,-6,0,1,,,,,,,,
1,153,1,1,1,1,19,1,1,1019,1,1,12,12,-21,0,1,,,,,,,,
1,153,1,1,2,1,19,0,0,568,3,0,0,28,0,13,1,,,,,,,,
1,153,1,1,3,1,19,1,1,830,1,1,6,6,-1.5,0,1,,,,,,,,
1,153,1,1,4,1,19,1,1,1220,0,0,-11,8,-11,0,1,,,,,,,,
1,153,1,1,5,1,19,1,0,947,3,0,-3,6,-3,0,1,,,,,,,,
1,153,1,1,6,1,19,0,0,304,3,1,25,25,0,10,1,,,,,,,,
1,153,1,1,7,1,19,1,0,549,3,0,-11.25,10,-11.25,0,1,,,,,,,,
1,153,1,1,8,1,19,1,1,627,0,0,-1.88,5,-1.88,0,1,,,,,,,,
1,153,1,1,9,1,19,1,1,1072,1,1,5,5,-2.5,0,1,,,,,,,,
1,153,1,1,10,1,19,1,0,564,3,0,-13.5,9,-13.5,0,1,,,,,,,,
1,153,1,1,11,1,19,0,0,435,3,1,19,19,0,8,1,,,,,,,,
1,153,1,1,12,1,19,1,,,,1,9,9,-2.25,0,1,,,,,,,,
1,153,1,1,13,1,19,1,1,294,0,0,-2.75,2,-2.75,0,1,,,,,,,,
1,153,1,1,14,1,19,1,1,259,1,1,10,10,-6.25,0,1,,,,,,,,
1,153,1,1,15,1,19,1,0,697,3,1,4,4,-6,0,1,,,,,,,,
1,153,1,1,16,1,19,1,1,334,0,0,-3,12,-3,0,1,,,,,,,,
1,153,1,1,17,1,19,1,1,676,1,1,10,10,-16.25,0,1,,,,,,,,
1,153,1,1,18,1,19,0,1,410,0,0,0,12,0,5,1,,,,,,,,
1,153,1,1,19,1,19,1,,,,0,-11.25,9,-11.25,0,1,,,,,,,,
1,153,1,1,20,1,19,1,1,1037,1,1,4,4,-3,0,1,,,,,,,,
1,153,1,1,21,1,19,1,0,331,3,1,5,5,-6.88,0,1,,,,,,,,
1,153,1,1,22,1,19,1,1,312,0,0,-6.75,9,-6.75,0,1,,,,,,,,
1,153,1,1,23,1,19,1,0,341,3,0,-12,12,-12,0,1,,,,,,,,
1,153,1,1,24,1,19,1,1,723,1,1,2,2,-1.75,0,1,,,,,,,,
1,153,1,1,25,1,19,0,0,273,3,0,0,5,0,3,1,,,,,,,,
1,153,1,1,26,1,19,0,1,494,1,1,5,5,0,2,1,,,,,,,,
1,153,1,1,27,1,19,0,0,332,3,0,0,26,0,10,1,,,,,,,,
1,153,1,1,28,1,19,1,1,442,0,0,-5.63,5,-5.63,0,1,,,,,,,,
1,153,1,1,29,1,19,1,0,455,3,1,6,6,-7.5,0,1,,,,,,,,
1,153,1,1,30,1,19,1,1,349,1,1,8,8,-3,0,1,,,,,,,,
2,154,0,0,1,1,20,0,0,1118,3,1,10,10,0,6,1,,,,,,,,
2,154,0,0,2,1,20,1,1,308,0,0,-15.75,9,-15.75,0,1,,,,,,,,
2,154,0,0,3,1,20,1,,,,0,-8.75,10,-8.75,0,1,,,,,,,,
2,154,0,0,4,1,20,1,,,,1,8,8,-2,0,1,,,,,,,,
2,154,0,0,5,1,20,1,1,765,0,0,-12,6,-12,0,1,,,,,,,,
2,154,0,0,6,1,20,1,0,842,3,0,-18.75,10,-18.75,0,1,,,,,,,,
2,154,0,0,7,1,20,1,,,,1,5,5,-8.13,0,1,,,,,,,,
2,154,0,0,8,1,20,0,0,693,3,0,0,12,0,4,1,,,,,,,,
2,154,0,0,9,1,20,1,0,738,3,1,9,9,-9,0,1,,,,,,,,
2,154,0,0,10,1,20,0,0,776,3,0,0,22,0,13,1,,,,,,,,
2,154,0,0,11,1,20,1,1,941,0,0,-7,8,-7,0,1,,,,,,,,
2,154,0,0,12,1,20,1,0,666,3,1,4,4,-8,0,1,,,,,,,,
2,154,0,0,13,1,20,0,0,1360,3,1,25,25,0,9,1,,,,,,,,
2,154,0,0,14,1,20,1,0,1277,3,0,-3.75,2,-3.75,0,1,,,,,,,,
2,154,0,0,15,1,20,1,1,843,1,1,2,2,-1.25,0,1,,,,,,,,
2,154,0,0,16,1,20,1,1,657,1,1,6,6,-9,0,1,,,,,,,,
2,154,0,0,17,1,20,0,0,94,3,1,13,13,0,6,1,,,,,,,,
2,154,0,0,18,1,20,1,1,676,0,0,-4,4,-4,0,1,,,,,,,,
